"track_uri","track_name","artist_uri_s","artist_name_s","album_uri","album_name","album_artist_uri_s","album_artist_name_s","album_release_date","album_image_url","disc_number","track_number","track_duration_ms","track_preview_url","explicit","popularity","isrc","added_by","added_at","artist_genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","album_genres","label","copyrights"
"spotify:track:4Pbg79cTBu4vgSphoyNq3j","2002","spotify:artist:1zNqDE7qDGCsyzJwohVaoX","Anne-Marie","spotify:album:6oSxSPOg7Kuitjt2zwP7sU","2002","spotify:artist:1zNqDE7qDGCsyzJwohVaoX","Anne-Marie","2018-04-19","https://i.scdn.co/image/ab67616d0000b273d04b0657298bd6401896de5e","1","1","186986","https://p.scdn.co/mp3-preview/d469ce8346ff12dcd2af05877d99662a0b334eca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAHS1800094","spotify:user:bradnumber1","2021-08-08T09:26:31Z","pop","0.697","0.683","1","-2.881","0","0.117","0.0372","0","0.137","0.603","96.133","4","","Atlantic Records UK","C © 2018 Major Tom's / Asylum Records, a division of Warner Music UK Limited, P ℗ 2018 Major Tom's / Asylum Records, a division of Warner Music UK Limited"
"spotify:track:63HdeyLwFqY8g97VGXzBuh","Hey Now","spotify:artist:1bj5GrcLom5gZFF5t949Xl, spotify:artist:7C64wNX3howEFZjAYRKsfP, spotify:artist:4qBgvVog0wzW75IQ48mU7v","Martin Solveig, The Cataracs, KYLE","spotify:album:0ctfNYQHt2p0O5v5UkgFYK","Hey Now","spotify:artist:1bj5GrcLom5gZFF5t949Xl, spotify:artist:7C64wNX3howEFZjAYRKsfP","Martin Solveig, The Cataracs","2013-05-27","https://i.scdn.co/image/ab67616d0000b273a7ec8cf0082fa44bd5e06b65","1","1","187500","https://p.scdn.co/mp3-preview/8869e59d1e3001b926e5bbca56b3a7207c8473dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","FR2PA1300010","spotify:user:bradnumber1","2021-08-08T09:26:31Z","disco house,edm,electro house,filter house,house,pop dance,vocal house,deep underground hip hop,indie pop rap,pop rap,viral trap","0.712","0.957","0","-1.923","1","0.0793","0.00552","0.00000177","0.103","0.703","128.039","4","","Onelove","C 2013 Temps d’Avance under exclusive license to ONELOVE, P 2013 Temps d’Avance under exclusive license to ONELOVE"
"spotify:track:4X5V6tQkV34qM455LIDvTx","All The Things She Said","spotify:artist:2Q3eZMfDQgT8MhPowKFXYO","t.A.T.u.","spotify:album:5GSdUC9xT8nv0NG7gXV8No","About Time","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-01-01","https://i.scdn.co/image/ab67616d0000b27321d2f32ee49927dd948f5a7a","1","13","215773","https://p.scdn.co/mp3-preview/47f34f86254819ea380d595d705a6e47118c3576?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","RUA110100017","spotify:user:bradnumber1","2021-08-08T09:26:31Z","dance pop,europop,girl group","0.58","0.751","5","-8.921","0","0.0391","0.0359","0.00384","0.106","0.393","89.996","4","","Decca (UMO)","C © 2013 Decca, a division of Universal Music Operations Limited and Universal Studios for the Motion Picture Artwork, Artwork Title, and Photos., P This Compilation ℗ 2013 Decca, a division of Universal Music Operations Limited"
"spotify:track:2w4Hv2AATgAjQVhZJic1pf","I Want To Be Straight","spotify:artist:7r993rArgKraCkh8w4Wszl","Ian Dury & The Blockheads","spotify:album:52hZgYl4JR9iY29gwYkXP6","Sex&Drugs&Rock&Roll - The Essential Collection","spotify:artist:7r993rArgKraCkh8w4Wszl","Ian Dury & The Blockheads","2010-01-01","https://i.scdn.co/image/ab67616d0000b273cd891b3a44987d24af6caf5d","1","17","199226","","false","0","GBDEM1322117","spotify:user:bradnumber1","2021-08-08T09:26:31Z","pub rock","0.81","0.851","9","-8.147","1","0.263","0.312","0","0.0808","0.845","117.707","4","","Ministry Of Sound","C © 2010 Demon Music Group, P This Compilation ℗ 2010 Demon Music Group"
"spotify:track:60lwJa695S26FsYbhCVFVa","Hurts So Good","spotify:artist:3AVfmawzu83sp94QW7CEGm","Astrid S","spotify:album:5xzkyCZ5LEOmI3a3bvrNIa","Astrid S","spotify:artist:3AVfmawzu83sp94QW7CEGm","Astrid S","2016-05-20","https://i.scdn.co/image/ab67616d0000b273eb65850941ef56d36318a1a8","1","2","208728","","false","0","NOUM71600843","spotify:user:bradnumber1","2021-08-08T09:26:31Z","alt z,norwegian pop,pop,uk pop","0.681","0.594","7","-4.986","0","0.0486","0.0777","0","0.0961","0.417","120.141","4","","Universal Music Group","C © 2016 Universal Music A/S, P ℗ 2016 Universal Music A/S"
"spotify:track:6MMCmTM5NY65MYgFHK3eQt","Let's Think About Living","spotify:artist:7GHomDn4a8u8k0AlUTwBWQ","Bob Luman","spotify:album:55jklXRL3MwrO85cV5i4d5","Livin' Lovin' Sounds","spotify:artist:7GHomDn4a8u8k0AlUTwBWQ","Bob Luman","2016-10-28","https://i.scdn.co/image/ab67616d0000b2738c4663317cc8a79b2b4182bc","1","12","124800","https://p.scdn.co/mp3-preview/1b407d1adfdc9811ccab408154a4cd19df009746?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USJGN1605638","spotify:user:bradnumber1","2021-08-08T09:26:31Z","rockabilly","0.613","0.636","2","-13.398","1","0.0713","0.717","0","0.446","0.962","96.762","4","","Sony/ATV Music","C (C) 2016 Sony/ATV Nashville"
"spotify:track:425D5agfu2gtVTp0v5az8V","All In It","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:7fZH0aUAjY3ay25obOUf2a","Purpose (Deluxe)","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2015-11-13","https://i.scdn.co/image/ab67616d0000b273b6d9a4fbb0bd49f0f034aead","1","18","231413","","false","0","USUM71516773","spotify:user:bradnumber1","2021-08-08T09:26:31Z","canadian pop,pop","0.459","0.701","5","-7.496","0","0.0782","0.502","0.0000362","0.238","0.509","97.648","4","","Universal Music Group","C © 2015 Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2015 Def Jam Recordings, a division of UMG Recordings, Inc."
"spotify:track:69bp2EbF7Q2rqc5N3ylezZ","Sorry","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:7fZH0aUAjY3ay25obOUf2a","Purpose (Deluxe)","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2015-11-13","https://i.scdn.co/image/ab67616d0000b273b6d9a4fbb0bd49f0f034aead","1","4","200786","","false","15","USUM71516760","spotify:user:bradnumber1","2021-08-08T09:26:31Z","canadian pop,pop","0.654","0.76","0","-3.669","0","0.045","0.0797","0","0.299","0.41","99.945","4","","Universal Music Group","C © 2015 Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2015 Def Jam Recordings, a division of UMG Recordings, Inc."
"spotify:track:3YlTwBFSI2kfMjGh1BWsEl","Mess Her Up","spotify:artist:2DORQjKJVYZMx9uu82UGtT","Amy Shark","spotify:album:7M7CdUhAKyLmCFLY8z4b0P","Love Monster","spotify:artist:2DORQjKJVYZMx9uu82UGtT","Amy Shark","2018-07-13","https://i.scdn.co/image/ab67616d0000b273d8b44ee2b3636fd5e9287eac","1","11","208240","https://p.scdn.co/mp3-preview/cc474a44f403907e18519c1d93e4e3fd04e9cc97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","AUBM01800146","spotify:user:bradnumber1","2021-08-08T09:26:31Z","australian pop","0.594","0.784","7","-4.885","1","0.0787","0.0892","0.00185","0.0757","0.298","159.881","4","","Wonderlick","P (P) 2018 Amy Shark under exclusive license to the Wonderlick Recording Company/Sony Music Entertainment Australia Pty Ltd."
"spotify:track:7tpr3cT3T4SOantp92eTDV","Next To You (feat. Justin Bieber)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:1uNFoZAHBGtllmzznpCI3s","Chris Brown, Justin Bieber","spotify:album:4Y0fafStNYB3LWQS6aa7H5","F.A.M.E. (Deluxe Version)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","2011-04-04","https://i.scdn.co/image/ab67616d0000b27325bb6d86da6cf1bab19e61e6","1","8","265813","","false","0","USJI11100078","spotify:user:bradnumber1","2021-08-08T09:26:31Z","r&b,rap,canadian pop,pop","0.67","0.676","8","-4.725","1","0.037","0.0201","0","0.11","0.349","114.974","4","","Jive","P (P) 2011 JIVE Records, a unit of Sony Music Entertainment"
